char_id,universe_id
Q2560424,Q1047918
Q2560424,Q3234440
Q2071256,Q128452
Q2071256,Q19632
Q2071256,Q2734743
Q2071256,Q2211423
Q2071256,Q1075698
Q2071256,Q609250
Q7243032,
Q2550629,
Q838076,Q128452
Q3410524,Q281762
Q2339776,Q1172691
Q2339776,Q514974
Q258015,Q128452
Q258015,Q19632
Q258015,Q2603976
Q258015,Q4807121
Q258015,Q111832939
Q517361,
Q838097,Q128452
Q838097,Q1965367
Q838097,Q8041531
Q838097,Q514974
Q838097,Q3570312
Q431862,Q128452
Q431862,Q2053320
Q431862,Q514974
Q431862,Q1075698
Q431862,Q2211423
Q431862,Q4354248
Q2258275,Q128452
Q2258275,Q1074284
Q2258275,Q2603976
Q2258275,Q8041531
Q2258275,Q2109149
Q2915564,Q2053320
Q2915564,Q3330930
Q2915564,Q514974
Q7490065,
Q2366159,Q128452
Q2366159,Q8041445
Q2366159,Q3570300
Q2366159,Q938034
Q2366159,Q5432231
Q3486722,Q128452
Q959613,
Q4353353,Q322646
Q4353353,Q3236029
Q2265169,Q128452
Q898593,
Q632212,Q128452
Q632212,Q152098
Q632212,Q8041531
Q632212,Q2109149
Q632212,Q927511
Q2569703,Q8041445
Q2569703,Q2211423
Q977088,Q128452
Q977088,Q1965367
Q977088,Q1075698
Q977088,Q2690825
Q977088,Q3570300
Q977088,Q2902250
Q977088,Q7122611
Q967429,
Q601199,Q128452
Q601199,Q1047918
Q601199,Q2109149
Q601199,Q3570300
Q601199,Q3088476
Q601199,Q938034
Q601199,Q5432231
Q106901100,
Q1455120,
Q3508157,Q1922133
Q3508157,Q128452
Q748726,Q128452
Q748726,Q1047918
Q748726,Q3339210
Q748726,Q938034
Q748726,Q8041529
Q748726,Q2211423
Q748726,Q5432231
Q7698867,
Q546340,Q128452
Q3874075,
Q7815410,
Q9303509,Q3234440
Q1168830,Q938034
Q1168830,Q3740170
Q1168830,Q5432231
Q7919268,
Q2568977,Q128452
Q2568977,Q19623
Q3108790,Q1047918
Q3108790,Q2603976
Q3108790,Q2265657
Q3108790,Q5432231
Q3108790,Q2211423
Q920406,Q128452
Q920406,Q1047918
Q920406,Q938034
Q920406,Q3570300
Q920406,Q2295246
Q770064,Q128452
Q770064,Q2109149
Q770064,Q938034
Q770064,Q609250
Q770064,Q2211423
Q770064,Q2690825
Q770064,Q605093
Q4020650,Q3234440
Q4020650,Q4023064
Q996154,Q128452
Q996154,Q1047918
Q996154,Q938034
Q996154,Q8041445
Q996154,Q2603976
Q996154,Q2295246
Q996154,Q2211423
Q186422,Q128452
Q186422,Q322646
Q186422,Q281762
Q186422,Q2690825
Q186422,Q152098
Q186422,Q5260103
Q186422,Q4354248
Q186422,Q2053320
Q186422,Q574835
Q186422,Q25436
Q186422,Q938034
Q104840678,
Q1872439,Q128452
Q1872439,Q938034
Q1872439,Q2053320
Q2892497,
Q2297125,Q128452
Q19882064,
